"Story","Title","Result","Date","Stability","Duration (s)"
"Yo como usuario quiero realizar una busqueda con los filtros que yo requiero para realizar la compra","validacion de los filtros de busqueda del portal metrocuadrado","ERROR","2023-01-18T10:37:29.692-05:00[America/Bogota]","0.0","4.85"
"Buscar un libro dentro de DemoQA","Yo como usuario quiero buscar un libro y ver su informacion","SUCCESS","2023-06-09T11:19:34.4012565-05:00[America/Bogota]","0.0","12.54"
